x,y,z,s
70.72,0.0,0.0,72.7
70.82,0.0,0.0,72.8
70.92,0.0,0.0,72.9
71.02,0.0,0.0,73.0
71.12,0.0,0.0,73.1
71.22,0.0,0.0,73.2
71.32,0.0,0.0,73.3
71.42,0.0,0.0,73.4
71.52,0.0,0.0,73.5
71.62,0.0,0.0,73.6
71.72,0.0,0.0,73.7
71.82,0.0,0.0,73.8
71.92,0.0,0.0,73.9
72.02,0.0,0.0,74.0
72.12,0.0,0.0,74.1
72.22,0.0,0.0,74.2
72.32,0.0,0.0,74.3
72.42,0.0,0.0,74.4
72.52,0.0,0.0,74.5
72.62,0.0,0.0,74.6
72.72,0.0,0.0,74.7
72.82,0.0,0.0,74.8
72.92,0.0,0.0,74.9
73.02,0.0,0.0,75.0
73.12,0.0,0.0,75.1
73.22,0.0,0.0,75.2
73.32,0.0,0.0,75.3
73.42,0.0,0.0,75.4
73.52,0.0,0.0,75.5
73.62,0.0,0.0,75.6
73.72,0.0,0.0,75.7
73.82,0.0,0.0,75.8
73.92,0.0,0.0,75.9
74.02,0.0,0.0,76.0
74.12,0.0,0.0,76.1
74.22,0.0,0.0,76.2
74.32,0.0,0.0,76.3
74.42,0.0,0.0,76.4
74.52,0.0,0.0,76.5
74.62,0.0,0.0,76.6
74.72,0.0,0.0,76.7
74.82,0.0,0.0,76.8
74.92,0.0,0.0,76.9
75.02,0.0,0.0,77.0
75.12,0.0,0.0,77.1
75.22,0.0,0.0,77.2
75.32,0.0,0.0,77.3
75.42,0.0,0.0,77.4
75.52,0.0,0.0,77.5
75.62,0.0,0.0,77.6
75.72,0.0,0.0,77.7
75.82,0.0,0.0,77.8
75.92,0.0,0.0,77.9
76.02,0.0,0.0,78.0
76.12,0.0,0.0,78.1
76.22,0.0,0.0,78.2
76.32,0.0,0.0,78.3
76.42,0.0,0.0,78.4
76.52,0.0,0.0,78.5
76.62,0.0,0.0,78.6
76.72,0.0,0.0,78.7
76.82,0.0,0.0,78.8
76.92,0.0,0.0,78.9
77.02,0.0,0.0,79.0
77.12,0.0,0.0,79.1
77.22,0.0,0.0,79.2
77.32,0.0,0.0,79.3
77.42,0.0,0.0,79.4
77.52,0.0,0.0,79.5
77.62,0.0,0.0,79.6
77.72,0.0,0.0,79.7
77.82,0.0,0.0,79.8
77.92,0.0,0.0,79.9
78.02,0.0,0.0,80.0
78.12,0.0,0.0,80.1
78.22,0.0,0.0,80.2
78.32,0.0,0.0,80.3
78.42,0.0,0.0,80.4
78.52,0.0,0.0,80.5
78.62,0.0,0.0,80.6
78.72,0.0,0.0,80.7
78.82,0.0,0.0,80.8
78.92,0.0,0.0,80.9
79.02,0.0,0.0,81.0
79.12,0.0,0.0,81.1
79.22,0.0,0.0,81.2
79.32,0.0,0.0,81.3
79.42,0.0,0.0,81.4
79.52,0.0,0.0,81.5
79.62,0.0,0.0,81.6
79.72,0.0,0.0,81.7
79.82,0.0,0.0,81.8
79.92,0.0,0.0,81.9
80.02,0.0,0.0,82.0
80.12,0.0,0.0,82.1
80.22,0.0,0.0,82.2
80.32,0.0,0.0,82.3
80.42,0.0,0.0,82.4
80.52,0.0,0.0,82.5
80.62,0.0,0.0,82.6
80.72,0.0,0.0,82.7
80.82,0.0,0.0,82.8
80.92,0.0,0.0,82.9
81.02,0.0,0.0,83.0
81.12,0.0,0.0,83.1
81.22,0.0,0.0,83.2
81.32,0.0,0.0,83.3
81.42,0.0,0.0,83.4
81.52,0.0,0.0,83.5
81.62,0.0,0.0,83.6
81.72,0.0,0.0,83.7
81.82,0.0,0.0,83.8
81.92,0.0,0.0,83.9
82.02,0.0,0.0,84.0
82.12,0.0,0.0,84.1
82.22,0.0,0.0,84.2
82.32,0.0,0.0,84.3
82.42,0.0,0.0,84.4
82.52,0.0,0.0,84.5
82.62,0.0,0.0,84.6
82.72,0.0,0.0,84.7
82.82,0.0,0.0,84.8
82.92,0.0,0.0,84.9
83.02,0.0,0.0,85.0
83.12,0.0,0.0,85.1
83.22,0.0,0.0,85.2
83.32,0.0,0.0,85.3
